code,name
99999,LA dummy sprog 1. General public services - of which: public and common services
P01 S100101,Grants to Voluntary Aided schools for capital and repairs
P01 S100105,Central and Local Government expenditure on Grant-maintained Schools
P01 S100106,Assisted Places Scheme Baseline
P01 S100110,Central Govt. Grants under the Music and Ballet Scheme
P01 S100114,City Academies
P01 S100115,City Technology Colleges
P01 S100122,Sure Start
P01 S100125,DEPARTMENTAL UNALLOCATED PROVISION
P01 S100128,Childrens Fund
P01 S100131,Central Government 'Secondary Education' expenditure
P01 S100191,P01 Schools Family and Childrens' Benefit
P01 S100218,"Higher Education Grants, Fees and Awards"
P01 S100222,Expenditure on Teacher Training other than through the TTA
P01 S100226,The Learning and Skills Council - replacement for the Further Edu...
P01 S100227,Adult Learning Inspectorate
P01 S100230,Education Maintenance Allowancess
P01 S100233,Education in Prisons and Custodial Institutions
P01 S100234,Learning and Skills Council (LSC) Further Education
P01 S100301,Misc Progs aimed at equipping children for Adult life (inc.ITin S...
P01 S100302,Qualifications Frameworks
P01 S100306,Progs Supporting all objectives inc.Teachers' Medical Fees
P01 S100307,Student Support (including Dance and Drama)
P01 S100401,Central and Local Govt.expenditure on the Youth Service
P01 S100402,Recreational Services and RE
P01 S100404,Compensation to college of education staff
P01 S100407,TEACHERS TRAINING AGENCY
P01 S100408,National College for School Leadership
P01 S100410,Standards Fund (Formerly GEST)
P01 S100411,OFFICE OF HER MAJESTY'S CHIEF INSPECTOR
P01 S100417,Children and Family - Misc Programmes
P01 S100419,Children and Family -  Youth Service
P01 S100420,Partnerships for Scools
P01 S100501,Family and Policy unit - Community Services
P01 S100801,Children and Families - Justice
P01 S100802,Children and Family Court Advisory and Support Service
P01 S100901,Children and Families - Personal Social Services
P01 S100902,Children and Families - Health and Misc Services
P01 S100904,Children and Families - Childrens Services Grants
P01 S102003,Connexions youth support service
P01 S102006,Publicity and Research
P01 S102007,E-Portals
P01 S102008,Youth Co-ordination
P01 S102020,CHILDCARE INITIATIVE
P01 S102029,Services Development Fund
P01 S102101,DEPARTMENTAL ADMINISTRATION
P01 S102601,YOUTH TRAININGPROGRAMME
P01 S102606,"TEC Strategic Budget, Performance related Funding and discretion...."
P01 S102610,Neighbourhood Support Fund
P01 S102611,Strategy and Communication
P01 S102615,LSC Training - Young People
P01 S102617,LSC - Learning and Skills Council Training/Other
P01 S102704,Millennium Volunteers
P01 S1100190,SFT
P01 S180500,"tEACHERS' SUPERANUATION (CLASS IX, VOTE2)"
P01 S180501,Premature Retirement Compensation
P01 S500000,DUM Dummy Accruals Adjustments
P04 110302,Central Health and Misc. Services
P04 S110101,Hospitals and community services
P04 S110103,General Medical Services
P04 S110105,P04Research and Development
P04 S110111,Department of Health: Departmental Unallocated Provision
P04 S110201,Personal social services: Central government
P04 S110301,EEA MEDICAL COSTS/WELFARE FOODS
P04 S110302,CENTRAL HEALTH AND MISCELLANEOUS SERVICES
P04 S110305,Welfare Food
P04 S110306,NDPB'S AND SHA'S
P04 S110401,Departmental administration
P04 S110503,PHARMACEUTICAL SERVICES-DISPENSING COSTS
P04 S110504,PHARMACEUTICAL SERVICES-PRESCRIPTION CHARGES INCOME
P04 S110505,GENERAL DENTAL SERVICES
P04 S110506,GENERAL OPHTHALMIC SERVICES
P04 S110701,NHS Trusts
P04 S110702,NHS Foundation Trusts
P04 S110801,Credit Guarantee Finance pilot
P04 S110901,Independent regulator for NHS Foundations Trusts
P04 S180700,NHS Pension Scheme -  England and Wales
P04 S180701,Prefunded premature retirement
P06 S260101,Meat Hygiene Service (FSA)
P06 S260102,Food standards agency - HQ
P07 S060101,Highway Agency Programme
P07 S060220,Other Bus Grants
P07 S060225,Local Transport Major Schemes (Public Transport)
P07 S060307,Bus Service Operators Grant
P07 S060309,Freight grants
P07 S060310,National Freight Company pension funds
P07 S060313,British Rail pension funds
P07 S060316,National Freight Co - travel concessions
P07 S060319,TENs Rail Projects
P07 S060320,TENs Other Transport Industry Projects
P07 S060326,Revenue support grant for PFI schemes
P07 S060329,RTP-Research Funding
P07 S060330,RSR-Rail Research & Consultancies
P07 S060333,British Transport Police
P07 S060335,SRA Enhancement - Reserved
P07 S060336,SRA Franchising - Devolved
P07 S060337,SRA Freight - Devolved
P07 S060338,SRA Network Grant - Reserved
P07 S060339,SRA Overheads - Reserved
P07 S060341,Crossrail & CCRI Consultants
P07 S060404,Shipping services
P07 S060407,MARITIME & COASTGUARD AGENCY
P07 S060408,Marine Accident Investigation Branch
P07 S060409,VOSA - other Enforcement & Delivery
P07 S060502,WHO study into Airline Travel and DVT
P07 S060506,Civil Aviation Authority
P07 S060508,"WHO study into Airline Travel and DVT, DOH & DfT Contribution DEP..."
P07 S060602,Civil aviation services
P07 S060604,International aviation services
P07 S060609,Loans to NATS
P07 S060610,Air Accident Investigation Branch
P07 S060701,Compensation on Private tolled undertakings
P07 S060709,Driving Standards Agency (Trading Fund)
P07 S060710,VOSA
P07 S060711,Vehicle Certification Agency
P07 S060712,Highway Agency Adminstration
P07 S060715,Transport security
P07 S060721,Publicity (road safety)
P07 S060727,Second Mersey Tunnel
P07 S060728,TENs Government Departments Projects
P07 S060732,Royal Travel
P07 S060735,Transport Commission on Integrated Transport
P07 S060736,Airport white paper study
P07 S060738,Promoting Sustainable Travel Initiatives
P07 S060740,Rail Research and Consultancies
P07 S060741,Speed and red light camera enforcement
P07 S060742,Powershift and Cleaner Vehicles
P07 S060743,Road Performance & Strategy Research
P07 S060745,Road User Charging
P07 S060746,International Subscriptions - OECD
P07 S060747,International Subscriptions - Railways
P07 S060750,Transport research - roads
P07 S060751,Sustainable distribution research
P07 S060753,Local transport research
P07 S060754,Transport statistics - roads
P07 S060755,Personal Travel Statistics
P07 S060756,Transport statistics - freight
P07 S060757,Road Safety & Standards Research
P07 S060758,Government Office programme expenditure
P07 S060759,Road Safety Strategy Grants and Programme
P07 S060760,Mobility Unit
P07 S060763,VCA Payments
P07 S060764,New Vehicle Technology Fund
P07 S060773,Railtrack PLC  : administration
P07 S060775,Transport Direct
P07 S060779,Central Administration
P07 S060780,Departments Unallocated Provision
P07 S060784,Transport Technology Standards Research Development
P07 S060785,Transport Analysis and Economics Research
P07 S060786,Transport Technology Consultancies
P07 S060787,Transport Analysis and Economics Consultancies
P07 S060788,Strategic Transport Studies
P07 S060790,WHO PEP programme
P07 S060791,Rail Accident Investigation Branch
P07 S060794,LONDON UNDERGROUND PPP ARBITER
P07 S060795,Consultancy - Local Transport
P07 S060796,Driver Information Research
P07 S060797,Transport Consultancies - Roads
P07 S060798,European regional Development Fund - transport services receipts
